Participant Number,Original Keyboard,Keyboard Type,Task Type,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration Level
20,Laptop,1,B,8,8,9,5,8,9
20,Laptop,1,C,6,6,5,7,6,5
20,Laptop,2,A,5,6,6,8,6,7
20,Laptop,2,B,6,6,8,7,7,6
20,Laptop,2,C,7,6,8,6,7,8
22,75,1,A,4,2,2,4,3,2
22,75,1,B,4,3,3,4,3,2
22,75,1,C,2,2,2,4,2,2
22,75,2,A,2,2,3,4,2,1
22,75,2,B,3,2,3,3,2,2
22,75,2,C,2,2,1,5,2,1
31,75 and Laptop,1,A,3,4,4,9,7,4
31,75 and Laptop,1,B,5,6,9,3,8,9
31,75 and Laptop,1,C,5,6,6,9,5,5
31,75 and Laptop,2,A,3,5,5,7,7,7
31,75 and Laptop,2,B,8,5,7,4,8,8
31,75 and Laptop,2,C,6,6,8,4,8,8
14,60,1,A,3,3,1,8,5,1
14,60,1,B,3,3,2,6,7,1
14,60,1,C,3,4,2,7,6,1
14,60,2,A,4,4,2,6,4,1
14,60,2,B,4,2,3,6,5,1
14,60,2,C,4,4,2,6,2,1
5,100,1,C,4,3,3,7,3,4
5,100,1,A,1,1,1,10,1,1
5,100,1,B,5,3,3,4,3,4
5,100,2,A,1,1,1,10,1,1
5,100,2,B,2,2,3,8,4,3
5,100,2,C,1,1,2,9,3,1
1,TKL,1,A,5,5,3,8,4,2
1,TKL,1,B,8,5,6,3,6,6
1,TKL,1,C,4,4,2,8,4,2
1,TKL,2,A,2,3,3,8,4,2
1,TKL,2,B,5,4,5,6,5,5
1,TKL,2,C,2,2,2,8,2,1
27,100,1,A,1,1,1,10,1,1
27,100,1,B,6,1,1,8,1,1
27,100,1,C,4,1,1,2,1,2
27,100,2,A,1,1,1,7,1,1
27,100,2,B,3,1,1,5,3,4
27,100,2,C,1,1,1,9,1,1
6,100,1,A,3,6,2,10,4,1
6,100,1,B,4,10,4,9,4,7
6,100,1,C,3,6,2,10,4,2
6,100,2,A,3,4,3,8,4,2
6,100,2,B,4,7,3,8,4,2
6,100,2,C,3,6,2,10,4,2
29,60,1,A,7,2,8,6,9,3
29,60,1,B,8,3,8,7,9,3
29,60,1,C,6,2,6,9,9,2
29,60,2,A,6,2,6,9,9,2
29,60,2,B,7,2,9,7,9,4
29,60,2,C,7,2,6,8,9,3
23,60,1,A,1,1,1,10,1,1
23,60,1,B,2,3,3,10,4,2
23,60,1,C,2,2,3,10,2,1
23,60,2,A,1,1,1,10,1,1
23,60,2,B,3,5,5,9,3,2
23,60,2,C,1,2,1,10,1,1
10,60,1,A,5,3,5,5,5,5
10,60,1,B,6,5,6,4,6,5
10,60,1,C,5,4,5,5,5,5
10,60,2,A,3,4,4,6,4,2
10,60,2,B,8,4,6,4,6,5
10,60,2,C,5,4,5,5,5,7
